Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,LineNum,
1,0.7799989,0,0,-7.997434,-0.4512929,7.995522,-0.4034425,0.01627275,-0.7735483,7,
1,0.7999989,0,0,-7.997428,-0.4511882,7.995514,-0.4032735,0.01628956,-0.7730572,7,
1,0.8199989,0,0,-7.997423,-0.4510834,7.995507,-0.4031045,0.01630592,-0.7725681,7,
1,0.8399988,0,0,-7.997417,-0.4509784,7.9955,-0.4029356,0.01632187,-0.772081,7,
1,0.8599988,0,0,-7.997411,-0.4508733,7.995493,-0.4027667,0.01633745,-0.7715958,7,
1,0.8799988,0,0,-7.997406,-0.4507681,7.995486,-0.4025979,0.01635268,-0.7711124,7,
1,0.8999988,0,0,-7.9974,-0.4506628,7.995479,-0.402429,0.01636762,-0.770631,7,
1,0.9199988,0,0,-7.997394,-0.4505573,7.995471,-0.4022601,0.0163823,-0.7701516,7,
1,0.9399987,0,0,-7.997388,-0.4504517,7.995464,-0.4020913,0.01639674,-0.7696741,7,
1,0.9599987,0,0,-7.997383,-0.4503461,7.995457,-0.4019225,0.01641101,-0.7691985,7,
1,0.9799987,0,0,-7.997377,-0.4502403,7.99545,-0.4017536,0.01642515,-0.7687248,7,
1,0.9999987,0,0,-7.997371,-0.4501345,7.995443,-0.4015847,0.01643917,-0.7682528,7,
1,1.019999,0,0,-7.997365,-0.4500286,7.995436,-0.4014159,0.01645315,-0.767783,7,
1,1.039999,0,0,-7.99736,-0.4499226,7.995429,-0.401247,0.0164671,-0.7673149,7,
1,1.059999,0,0,-7.997354,-0.4498166,7.995421,-0.4010781,0.01648105,-0.7668488,7,
1,1.079999,0,0,-7.997348,-0.4497104,7.995414,-0.4009091,0.01649502,-0.7663845,7,
1,1.099999,0,0,-7.997343,-0.4496043,7.995407,-0.4007401,0.01650904,-0.7659222,7,
1,1.119999,0,0,-7.997337,-0.449498,7.9954,-0.4005711,0.01652315,-0.7654617,7,
1,1.139999,0,0,-7.997331,-0.4493918,7.995393,-0.400402,0.01653734,-0.7650031,7,
1,1.159999,0,0,-7.997325,-0.4492854,7.995386,-0.4002329,0.01655165,-0.7645464,7,
1,1.179999,0,0,-7.99732,-0.4491791,7.995378,-0.4000638,0.01656607,-0.7640914,7,
1,1.199999,0,0,-7.997314,-0.4490727,7.995371,-0.3998946,0.01658061,-0.7636384,7,
1,1.219999,0,0,-7.997308,-0.4489662,7.995364,-0.3997253,0.01659526,-0.7631872,7,
1,1.239999,0,0,-7.997303,-0.4488597,7.995357,-0.3995559,0.01661003,-0.7627378,7,
1,1.259999,0,0,-7.997297,-0.4487531,7.99535,-0.3993866,0.0166249,-0.7622902,7,
1,1.279999,0,0,-7.997291,-0.4486466,7.995343,-0.3992172,0.01663988,-0.7618445,7,
1,1.299999,0,0,-7.997285,-0.4485399,7.995336,-0.3990477,0.01665492,-0.7614006,7,
1,1.319999,0,0,-7.99728,-0.4484333,7.995328,-0.3988781,0.01667001,-0.7609583,7,
1,1.339998,0,0,-7.997274,-0.4483266,7.995321,-0.3987086,0.01668515,-0.7605178,7,
1,1.359998,0,0,-7.997268,-0.4482199,7.995314,-0.398539,0.0167003,-0.7600791,7,
1,1.379998,0,0,-7.997262,-0.4481131,7.995307,-0.3983694,0.01671543,-0.7596422,7,
1,1.399998,0,0,-7.997257,-0.4480062,7.9953,-0.3981997,0.01673052,-0.7592071,7,
1,1.419998,0,0,-7.997251,-0.4478993,7.995293,-0.39803,0.01674551,-0.7587736,7,
1,1.439998,0,0,-7.997245,-0.4477924,7.995286,-0.3978602,0.0167604,-0.758342,7,
1,1.459998,0,0,-7.997239,-0.4476853,7.995278,-0.3976904,0.01677514,-0.7579119,7,
1,1.479998,0,0,-7.997231,-0.4475783,7.995271,-0.3975207,0.0167897,-0.7574834,7,
1,1.499998,0,0,-7.997224,-0.4474711,7.995264,-0.3973509,0.01680407,-0.7570567,7,
1,1.519998,0,0,-7.997217,-0.4473639,7.995257,-0.3971812,0.0168182,-0.7566317,7,
1,1.539998,0,0,-7.99721,-0.4472565,7.99525,-0.3970113,0.01683207,-0.7562084,7,
1,1.559998,0,0,-7.997203,-0.4471491,7.995243,-0.3968415,0.01684565,-0.7557865,7,
1,1.579998,0,0,-7.997196,-0.4470417,7.995235,-0.3966717,0.01685892,-0.7553663,7,
1,1.599998,0,0,-7.997189,-0.4469341,7.995228,-0.396502,0.01687187,-0.7549477,7,
1,1.619998,0,0,-7.997181,-0.4468264,7.995221,-0.3963323,0.01688446,-0.7545306,7,
1,1.639998,0,0,-7.997174,-0.4467186,7.995214,-0.3961626,0.01689669,-0.7541151,7,
1,1.659998,0,0,-7.997167,-0.4466107,7.995207,-0.3959929,0.01690856,-0.7537012,7,
1,1.679998,0,0,-7.99716,-0.4465028,7.9952,-0.3958232,0.01692004,-0.7532887,7,
1,1.699998,0,0,-7.997153,-0.4463947,7.995193,-0.3956535,0.01693112,-0.7528779,7,
1,1.719998,0,0,-7.997146,-0.4462865,7.995185,-0.3954839,0.0169418,-0.7524685,7,
1,1.739998,0,0,-7.997139,-0.4461782,7.995178,-0.3953142,0.0169521,-0.7520607,7,
1,1.759998,0,0,-7.997131,-0.4460699,7.995171,-0.3951447,0.01696201,-0.7516543,7,
1,1.779998,0,0,-7.997124,-0.4459614,7.995164,-0.3949752,0.01697156,-0.7512494,7,
1,1.799998,0,0,-7.997117,-0.4458528,7.995157,-0.3948057,0.01698074,-0.750846,7,
1,1.819998,0,0,-7.99711,-0.4457441,7.99515,-0.3946362,0.01698956,-0.7504441,7,
1,1.839998,0,0,-7.997103,-0.4456353,7.995142,-0.3944668,0.01699805,-0.7500436,7,
1,1.859998,0,0,-7.997096,-0.4455263,7.995135,-0.3942974,0.01700622,-0.7496446,7,
1,1.879998,0,0,-7.997088,-0.4454173,7.995128,-0.3941279,0.0170141,-0.7492471,7,
1,1.899998,0,0,-7.997081,-0.4453082,7.995121,-0.3939585,0.01702171,-0.748851,7,
1,1.919998,0,0,-7.997074,-0.445199,7.995114,-0.3937892,0.01702909,-0.7484564,7,
1,1.939998,0,0,-7.997067,-0.4450898,7.995107,-0.3936198,0.01703625,-0.7480632,7,
1,1.959998,0,0,-7.99706,-0.4449804,7.9951,-0.3934505,0.01704321,-0.7476714,7,
1,1.979998,0,0,-7.997053,-0.4448709,7.995092,-0.3932813,0.01705002,-0.7472811,7,
1,1.999998,0,0,-7.997046,-0.4447614,7.995085,-0.393112,0.01705669,-0.7468922,7,
1,2.019998,0,0,-7.997038,-0.4446518,7.995078,-0.3929427,0.01706325,-0.7465047,7,
1,2.039998,0,0,-7.997031,-0.4445422,7.995071,-0.3927733,0.01706973,-0.7461187,7,
1,2.059998,0,0,-7.997024,-0.4444324,7.995064,-0.392604,0.01707616,-0.7457339,7,
1,2.079998,0,0,-7.997017,-0.4443226,7.995057,-0.3924347,0.01708254,-0.7453508,7,
1,2.099998,0,0,-7.99701,-0.4442128,7.995049,-0.3922654,0.01708888,-0.7449689,7,
1,2.119998,0,0,-7.997003,-0.4441029,7.995042,-0.3920961,0.01709523,-0.7445884,7,
1,2.139998,0,0,-7.996995,-0.4439929,7.995035,-0.3919268,0.0171016,-0.7442092,7,
1,2.159998,0,0,-7.996988,-0.4438829,7.995028,-0.3917574,0.01710799,-0.7438315,7,
1,2.179998,0,0,-7.996981,-0.4437729,7.995021,-0.3915881,0.01711443,-0.7434551,7,
1,2.199998,0,0,-7.996974,-0.4436628,7.995014,-0.3914186,0.01712092,-0.7430801,7,
1,2.219998,0,0,-7.996967,-0.4435526,7.995007,-0.3912492,0.01712746,-0.7427065,7,
1,2.239998,0,0,-7.99696,-0.4434424,7.994999,-0.3910797,0.01713404,-0.7423342,7,
